ลำดับ,"วัน/เดือน/ปี 
ที่ติดต่อเข้ามา",ชื่อผู้สนใจ/ชื่อ Facebook,Line,Facebook,ปกติ,สมทบ,ทางไกล,ปริญญา,คณะ,สาขา,วุฒิที่ใช้สมัคร,ผ่อนตรง,กู้ กยศ,"เบอร์โทร
ให้ติดต่อกลับ","วัน/เดือน/ปี
ที่ให้โทร",ช่วงเวลาให้ติดต่อกลับ,หมายเหตุ,ชื่อแอดมินที่ดูแล,ติดตาม,ติดตาม,ติดตาม,ติดตาม,ติดตาม,ติดตาม,,,,
,,,,,,,,,,,,,,,,,,,ครั้งที่ 1,ครั้งที่ 2,ครั้งที่ 3,ครั้งที่ 4,ครั้งที่ 5,ครั้งที่ 6,,,,
1,พ.ย.-24,Mondee Deesa,ü,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,กศน.เทียบเท่า ม.6,,ü,0991221248,17/04/2025,18.30,,,20/1/2025 ไม่ได้รับสาย,ปุ้ยโทร 25/03/2025 สนใจสมัคร ขอเวลาตัดสินใจ,,,,,,,,
2,พ.ย.-24,ภูมิรุ่ง ภูมิรุ่ง,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,กศน.เทียบเท่า ม.6,ü,,0967913513,20/04/2025,18.30,ถามว่าต้องมาสอบที่มหาวิทยาลัยไหม,,20/1/2025 ยังไม่ตัดสินใจ,21/1/2025 ยังไม่ตัดสินใจ,27/1/2025 ขอคิดดูก่อน,ปุ้ยโทร 25/03/2025 สนใจสมัคร ขอเวลาตัดสินใจ,,,,,,
3,พ.ย.-24,Nufa Vinlu,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,ü,,0918841199,21/04/2025,18.00,สนใจกู้ กยศ.,,20/1/2025 ไม่ได้รับสาย,ปุ้ยโทร 25/03/2025 สนใจสมัคร ขอเวลาตัดสินใจ,,,,,,,,
4,พ.ย.-24,Naqua Sazen,,ü,,,,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ม.6,ü,,0910885673,ไม่สมัคร,,,,ยังไม่ตัดสินใจ,,,,,,,,,
5,พ.ย.-24,Nupim_Nator,ü,,ü,,,โท,ศึกษาศาสตร์,บริหารการศึกษา,ปริญญาตรี,ü,,0954545491,26/03/2025,12.00,สอบถามเรื่องทุนการศึกษา,,20/1/2025 ขอดูค่าใช้จ่ายก่อน,ปุ้้ยโทร 25/03/2025 ไม่รับสาย,ต้นโทร 26/3/2025 13.37 น. ขอดูค่าใช้จ่ายก่อน,,,,,,,
6,พ.ย.-24,Sonpim Ulya,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช.,,ü,0907703637,ไม่สมัคร,9.00,,,20/1/2025 ขอดูค่าใช้จ่ายก่อน,ปุ้้ยโทร 25/03/2025 ไม่รับสาย,ปุ้้ยโทร 27/03/2025 ไม่ได้รับสาย,ปุ้้ยโทร 28/03/2025 ยังไม่ตัดสินใจ,,,,,,
7,ธ.ค.-24,Zenrat Ixna,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช.,ü,,0675290639,ไม่่สมัคร,,,,สมัครเรียบร้อย รอส่งเอกสาร,,,,,,,,,
8,ธ.ค.-24,ณัฐน้ำ.จิตอัญ มั่นแก้ว,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส,,ü,0829352718,ไม่สมััคร,,ถามว่าต้องมาสอบที่มหาวิทยาลัยไหม,,20/1/2025 ขอดูค่าใช้จ่ายก่อน,ปุ้้ยโทร 25/03/2025 ไม่สมัคร ทำงานไม่ว่าง,,,,,,,,
9,ธ.ค.-24,Ompe Fachai,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,กศน.เทียบเท่า ม.6,ü,,0993799170,ไม่ต้องโทร,16.00,ทำงานกะดึก โทรหลัง 18.00 น.,,20/1/2025 ขอดูค่าใช้จ่ายก่อน,ปุ้้ยโทร 25/03/2025 ขอให้ติดต่อใหม่ช่วงเย็น,ปุ้ยโทร 26/03/2025 ไม่ได้รับสาย,ปุ้้ยโทร 27/03/2025 ไม่ได้รับสาย,ปุ้้ยโทร 28/03/2025 ขอดูค่าใช้จ่ายก่อน,ต้้นโทร 29/3/2025 16.19 น. ยังไม่ตัดสินใจ,ปุ้ยโทร 01/04/2025 ปิดเครื่อง,ปุ้ยโทร 02/04/2025 ปิดเครื่อง,,
